Instances,Source,algo_Hi_PR,algo_PAR,algo_P2R,algo_Pseudo_Hi_FIFO,feature_Order,feature_Size,feature_AvNdDgr,feature_AVScPotNetExcess,feature_CVAvNdDg,feature_ScCapDens
Genrmf_Moderate_a120_b70_c100(rate),RMF,10.255,4.538,5.712,3.655,1008000,4992000,4.9524,1.50E-05,0.080482,8.00E-06
Genrmf_Moderate_a120_b80_c10000(rate),RMF,11.306,5.768,6.316,4.915,1152000,5707200,4.9542,1.50E-05,0.079593,7.00E-06
Genrmf_Moderate_a130_b150_c100(rate),RMF,34.309,9.938,11.061,12.655,2535000,12580100,4.9626,1.20E-05,0.073858,3.00E-06
Genrmf_Moderate_a130_b80_c10000(rate),RMF,22.811,7.886,11.143,5.884,1352000,6701500,4.9567,1.20E-05,0.07697,6.00E-06
Genrmf_Moderate_a140_b110_c100(rate),RMF,35.051,11.104,14.788,8.792,2156000,10698800,4.9623,1.10E-05,0.072799,4.00E-06
Genrmf_Moderate_a140_b190_c100000000(rate),RMF,1.93,1.11,1.757,4.529,3724000,18494000,4.9662,0.013897,0.07064,2.00E-06
Genrmf_Moderate_a150_b140_c1000000(rate),RMF,7.428,7.163,8.167,8.073,3150000,15643500,4.9662,0.000205,0.069558,3.00E-06
Genrmf_Moderate_a150_b160_c100(rate),RMF,55.41,17.555,19.537,17.423,3600000,17881500,4.9671,9.00E-06,0.069037,2.00E-06
Genrmf_Moderate_a150_b180_c1000000(rate),RMF,8.648,7.943,9.766,15.38,4050000,20119500,4.9678,0.000205,0.068628,2.00E-06
Genrmf_Moderate_a150_b50_c10000(rate),RMF,17.064,7.365,8.313,5.754,1125000,5572500,4.9533,9.00E-06,0.076515,7.00E-06
Genrmf_Moderate_a160_b100_c100000000(rate),RMF,1.383,0.71,1.181,1.272,2560000,12710400,4.965,0.099265,0.069289,3.00E-06
Genrmf_Moderate_a160_b110_c10000(rate),RMF,47.304,15.823,20.512,12.851,2816000,13984000,4.9659,8.00E-06,0.068763,3.00E-06
Genrmf_Moderate_a160_b130_c100000000(rate),RMF,2.781,1.234,1.954,2.222,3328000,16531200,4.9673,0.098983,0.067942,3.00E-06
Genrmf_Moderate_a160_b170_c100000000(rate),RMF,2.189,1.104,1.794,2.376,4352000,21625600,4.9691,0.098899,0.066859,2.00E-06
Genrmf_Moderate_a160_b190_c10000(rate),RMF,73.607,20.361,26.186,33.271,4864000,24172800,4.9697,8.00E-06,0.066483,2.00E-06
Genrmf_Moderate_a160_b50_c100000000(rate),RMF,0.757,0.421,0.682,0.605,1280000,6342400,4.955,0.10001,0.07474,7.00E-06
Genrmf_Moderate_a160_b50_c10000(rate),RMF,19.875,8.84,11.025,5.633,1280000,6342400,4.955,8.00E-06,0.07474,6.00E-06
Genrmf_Moderate_a160_b70_c100000000(rate),RMF,1.281,0.596,0.895,0.862,1792000,8889600,4.9607,0.099622,0.071699,5.00E-06
Genrmf_Moderate_a170_b130_c10000(rate),RMF,61.286,21.676,28.077,19.129,3757000,18667700,4.9688,7.00E-06,0.066188,2.00E-06
Genrmf_Moderate_a170_b60_c10000(rate),RMF,23.053,10.826,13.079,6.797,1734000,8600300,4.9598,7.00E-06,0.07135,5.00E-06
Genrmf_Moderate_a170_b70_c100(rate),RMF,28.244,12.467,13.522,10.157,2023000,10038500,4.9622,7.00E-06,0.070032,4.00E-06
Genrmf_Moderate_a180_b190_c100000000(rate),RMF,4.311,2.219,3.236,6.763,6156000,30610800,4.9725,0.013035,0.063058,1.00E-06
Genrmf_Moderate_a180_b190_c10000(rate),RMF,131.665,34.686,38.704,38.215,6156000,30610800,4.9725,6.00E-06,0.063058,1.00E-06
